id,name,ttrpg_label,truth
716925435,One-shot Dungeons for 5E - 1€,ttrpg,core
1699038054,Maximum Mayhem Dungeons #7: Dread Swamp of the Banshee,ttrpg,core
1031962244,Labyrinth: The Lich Lord's Lair tabletop fantasy RPG game,ttrpg,non
1348127856,Retribution (Savage Worlds RPG). Death isn't always the end!,ttrpg,core
1355176343,ghostbox - the dead letter edition,ttrpg,core
1436677018,Forged in Dragonfire: Level 0 Characters in Daggerheart,ttrpg,core
1794984232,"Jekyll or Hyde, A Gothic Horror D&D 5e Adventure",ttrpg,core
1181162926,MAPS MAPS MAPS - Volume #3,ttrpg,acc
1887231544,Hidden Territories - Every Hero Needs a Quest!,ttrpg,core
2093112878,Bestiary Cards: For Your ShadowDark RPG or OSE,ttrpg,acc
1440248421,City of God: Demon Investigation TTRPG (Digital Release),ttrpg,core
1094489060,The Epic of Dreams RPG: Basilisk Edition,ttrpg,core
706175258,Bloodwraith: A Fantasy World of Survival and Torment,ttrpg,core
1125260623,Grim World: Gaming Supplement for Dungeon World & FATE Core,ttrpg,core
112839394,Games that Goblins Play. Playing Cards and New Games!,ttrpg,non
1484052781,Dragon Scales: A Tabletop RPG Game of Chance™,ttrpg,non
2081505343,The Lair of the Skateomancer,ttrpg,core
286047018,Monsters of the Wilderness for 5th Edition,ttrpg,core
52247408,The End Times Trilogy,ttrpg,core
1133202705,"Breath of Life - The Marshal (Pathfinder PF1e, PF2e, and 5e)",ttrpg,core
638879648,HUNT(er/ed),ttrpg,core
942568818,KIN,ttrpg,core
928917330,The City Attractions Package,ttrpg,core
1299400194,"Bastille: Fallen Kingdoms, Volume 1",ttrpg,core
1292080758,Ollitla: a 5e aztec-inspired setting,ttrpg,core
534174712,Secrets of The Lost Mage | Dnd 5e Adventure,ttrpg,core
112038272,Biomes in Maksur: Wetlands,ttrpg,core
1058996030,Marked for the Hunt: a monstrous TTRPG,ttrpg,core
1624404409,Blessed be the Peacemakers | DnD 5e Adventure,ttrpg,core
665111159,No Place Like Homebrew: Build epic fantasy worlds for DnD,ttrpg,core
2028896580,Fragged Empire RPG: Expanded.,ttrpg,core
263679253,Subdue Rpg,ttrpg,core
1910810602,Roadkill - a 5e D&D,ttrpg,core
861955597,Gauntlets & Goblins,ttrpg,core
1037213199,Wrath of the Gatekeepers Campaign serial adventures,ttrpg,core
772604130,Echoes of the Mist: A Compendium of Magical Potions for 5e,ttrpg,core
774306150,Iron Frontier Campaign Setting for 5th Edition,ttrpg,core
1456216183,Dungeons? Score!!! (ZineQuest 3 Edition),ttrpg,core
872427016,A Fine Mess - ZineQuest 2,ttrpg,core
1996980166,What Horrors Lie In Wait: Rules-Lite Modern Horror TTRPG,ttrpg,core
2138785998,"Super Powered Legends Sourcebook II, for M&M",ttrpg,core
1698789320,Xenomorphs: The Fall of Somerset Landing Tabletop RPG,ttrpg,core
1165181783,Trailblazer Game Stamps,ttrpg,acc
46077415,Myth-Stakes,ttrpg,core
84972366,El'neth's Elephants,ttrpg,core
1288866688,Retrocausality 1st Edition: A Time Travel Roleplaying Game,ttrpg,core
1421943078,Enchanted Emporium,ttrpg,core
1315570477,THE POWER WORDS ENGINE,ttrpg,core
437870638,D&D 5e Tome of Terrors Vol 3: Monsters of Romanian Folklore!,ttrpg,core
1627774961,Tome of Monsters: Horrorific Threats for Savage Worlds,ttrpg,core
1685061372,"In Defense of Thuil, a Multi-System Fantasy RPG Adventure",ttrpg,core
530475596,Damocles - System-Free Scifi Horror Mystery RPG Story Guide,ttrpg,core
736325852,"The ADVANCED: Pandemonium, a complete tabletop rpg system",ttrpg,core
1106263205,Tall Pines - A Surreal Murder Mystery Roleplaying Game,ttrpg,core
1573066368,Vault of the Sky Thieves: A 5e Adventure,ttrpg,core
1035107493,Creature Compendium 2 for 5e,ttrpg,core
1603700061,B/X-5: New 5e Classes for an Old School Basic game (Canceled),ttrpg,core
1546891855,€1 One Shot: The Bloodpit of Hoxditch,ttrpg,core
758852740,Ultimate Unofficial Collectors Guide to D&D:Forgotten Realms,ttrpg,core
1175197691,Bug Borg,ttrpg,core
366984099,DODGE! The Role-Playing Game of Cinematic Escapes,ttrpg,core
1893786643,Barbaric! 2E (w/ Stellagama Publishing),ttrpg,core
1625144308,BUTCHERY (a ZineQuest RPG),ttrpg,core
2076392887,Dark Stars,ttrpg,core
1115374641,Dungeons and Dragons Mystery Encounter Box,ttrpg,core
2084368253,High Pass Chronicles - Hold the Line,ttrpg,core
1779879672,Quickstarter: TOKENAMEL - Enamel tokens for TTRPG,ttrpg,acc
403963521,The 7th Edition Guide to Cthulhu Invictus,ttrpg,core
2060902884,CAPERS Expanded RPG Supplement,ttrpg,core
752332245,Dreamworlds and Ice Palaces,ttrpg,core
1969659287,Quickstarter: Limitless NPCs Revision (100+ 5E NPCs),ttrpg,core
167844249,"The Serpent, Sci-Fi RPG Campaign and Setting",ttrpg,core
1402000437,Lovecraftesque,ttrpg,core
35150466,Endless Realms: Tome of Spirits,ttrpg,core
1151238017,WYRM - Pestilent Bolt Thrower,ttrpg,core
796757965,Aetheria,ttrpg,core
446468271,A PERFECT WIFE: TTRPG Adventure + Fundraiser!,ttrpg,core
518894895,Fantastic Quest of Whimsical One & Lost Tomb of Mummy Lich,ttrpg,core
531978383,Goblin Journals RPG Creative Writing Kit,ttrpg,acc
2035647450,That Night in Somnolence - DnD 5E campaign supplement,ttrpg,core
1581415196,Deck of Beasts II,ttrpg,acc
431733062,Hard Wired Island: Reprint,ttrpg,core
1824593409,This Night on the Rooftops,ttrpg,core
1864623006,Against the Dark Yogi: Mythic India Roleplaying,ttrpg,core
954642870,UDM - Ultra Detailed Maps for Fantasy Role Playing (Phase02),ttrpg,acc
2051970557,Enclave: A Tableless Roleplaying Game,ttrpg,core
1822410734,Maps for TTRPGs - Summits of Fury,ttrpg,acc
288292811,Stat Trackers: A GM accessory for 5E Dungeons and Dragons,ttrpg,acc
