id,name,ttrpg_label,hand_truth
1375135871,Terminus X7Z,ttrpg,core_rpg
147730904,A Christmas Carol Adventure,ttrpg,core_rpg
873534832,Fey Encounters (5E),ttrpg,core_rpg
910428393,"ANKUR ""Land of the first people"" Africa setting expansion",ttrpg,core_rpg
374138207,Drinking Quest: Journey into Draught,ttrpg,core_rpg
929245462,SMALL TOWN: SKELETONS,ttrpg,core_rpg
952344605,The Crypt Has Opened,ttrpg,core_rpg
1212710945,A Little Drop of Poison | Survival Horror Roleplaying,ttrpg,core_rpg
1455153957,Awakened Earth - In the Shadow of Wraiths,ttrpg,core_rpg
1768317133,Accursed Deck Scum,ttrpg,core_rpg
677634635,Folio #1 1E & 5E Adventure Reprint,ttrpg,core_rpg
716072316,Barrowmaze: HighFell - The Drifting Dungeon,ttrpg,core_rpg
84837063,Strange Magic: New Magic Systems for the Pathfinder RPG,ttrpg,core_rpg
794432633,Expeditions into the Blood Sands,ttrpg,core_rpg
307220523,SVMP: Swamp Crawl in Mörk Borg,ttrpg,core_rpg
2070452097,The Heroes of Radness: Camp Tenderpeak,ttrpg,core_rpg
165798614,The Hands That Feed,ttrpg,core_rpg
1532006526,Meanders RPG Maps: Modern City 2,ttrpg,accessory_or_nontt
1763995252,Moon Base Alpha - An RPG Sci-Fi PDF,ttrpg,accessory_or_nontt
1571450454,Metallic Tome: A Sourcebook for OSR Games,ttrpg,core_rpg
681642779,Dungeon Domains: Coldheart Hollow (5e / OSR compatible),ttrpg,core_rpg
939054462,Gaming Paper Megadungeon 4 - Rooftops and Alleyways,ttrpg,accessory_or_nontt
1544650296,"Calidar ""Alfdaín Ascendant""",ttrpg,core_rpg
124833607,SOULBOUND,ttrpg,core_rpg
254432037,Secrets of the Vibrant Isle,ttrpg,core_rpg
651831904,Mayhem at Mulgraine Farm,ttrpg,core_rpg
144588195,The Realms of Shadowmarch: Scorched Harvest 5e D&D,ttrpg,core_rpg
1405536352,The Spirits of Wyvernfall,ttrpg,core_rpg
1870042706,Press Pot Games' Mini Handmade TTRPG Zine Anthology Bundle,ttrpg,core_rpg
1139928750,The Rook & the Crook,ttrpg,core_rpg
1596222761,Two-Minute Caves,ttrpg,core_rpg
92032585,The Mists of Crow Attic,ttrpg,core_rpg
735929844,Ebonclad: A 5E DnD Thieves' Guild Setting + 7 New Adventures,ttrpg,core_rpg
361484310,Destination Danger by Guardian Moon Games,ttrpg,core_rpg
514374338,dJam | A die for all dices!,ttrpg,accessory_or_nontt
282518816,Project Webblock,ttrpg,accessory_or_nontt
1237245278,THEY BURNED THE BOOKS,ttrpg,core_rpg
188238795,Trails Through the Skies,ttrpg,core_rpg
17200183,The Domes of Ishaq-Zahur for 5th Edition and Pathfinder!,ttrpg,core_rpg
440321138,Nadir,ttrpg,core_rpg
2048551258,Tiny Little Bastards - RPG tokens in recycled materials,ttrpg,accessory_or_nontt
463609919,5e Domain of Dread adventure: Bluetspur,ttrpg,core_rpg
1433075224,Leviathan Babylonian Union Fleet and More,ttrpg,accessory_or_nontt
31737529,Yldar: the World of Dragons,ttrpg,core_rpg
1862098808,Graveyard of Heroes Fantasy RPG,ttrpg,core_rpg
1290572280,Vagabonds of Dyfed RPG: OSR meets PbtA,ttrpg,core_rpg
700324720,RPG Modular Dungeon Rooms Huge sets,ttrpg,accessory_or_nontt
129243064,Silver Age: A Mark of the Odd Game of Werewolves,ttrpg,core_rpg
42009075,Divine Might: Cleric Cyclopedias for DnD 5E & Pathfinder RPG,ttrpg,core_rpg
152400697,"Caligaes' Xeno - Invasion, A Reverse Horror TTRPG",ttrpg,core_rpg
1316629123,Tiles and Tables,ttrpg,accessory_or_nontt
709669996,Highway to Hell: a DnD 5E adventure,ttrpg,core_rpg
1127968724,In/Humanity,ttrpg,core_rpg
1754923303,30 Detailed NPC Profiles (D&D 5e),ttrpg,core_rpg
766276281,Nerdmoji - RPG Class Team Shirts,ttrpg,accessory_or_nontt
